movie_id,title,release_year,duration_minutes,language_id,budget,revenue
107,Return six travel,1990,111,7,5030358,1072887324
108,Respond a,1997,138,7,73439643,500686028
109,Safe forget,2007,124,1,111875661,1354416510
110,Report modern,2011,99,10,60741440,294069297
111,Just generation,1997,115,10,181211213,68830771
112,Task public someone,2008,104,4,55447723,218896646
113,Fight shake,2017,172,6,55911722,118499705
114,New likely official,2000,177,4,18753335,151519952
115,Mention out simply hard,2019,94,9,48534066,1074736563
116,President also daughter add,1990,84,8,118919723,1461224640
117,Early cell man,2006,164,6,166640610,62442784
118,Station marriage,2022,133,9,132518044,389605068
119,Moment of,2001,158,5,185646739,826698069
120,Read best leg,2022,178,3,88213504,1303334083
121,Summer image will,1996,82,9,123821281,1463580260
122,Region,2009,110,3,67245532,707132421
123,Congress value,2022,106,5,115771104,332999469
124,Operation skin goal still,2002,88,2,109680595,655156282
125,Health teach clear,1999,92,8,12227655,1340663442
126,Face parent,2013,156,3,164189955,1343381864
127,Work back process,2000,84,5,198389120,211874888
128,Vote care against,2023,137,9,103105913,169319556
129,Catch,1990,156,3,194327460,1424659785
130,But whether,2010,166,6,84992780,1121581788
131,Write,2021,170,2,106804025,1061964628
132,Probably moment dinner,1991,86,4,165149589,1005774266
133,Store,1997,111,6,154527485,438645138
134,Thank whatever,2013,174,4,160398530,635421585
135,Interview yard,2009,85,5,144924189,1426834392
136,Smile camera information,2005,131,7,141990496,1074230055
137,Finally knowledge yourself,1993,136,6,173172843,1057804624
138,Single eat develop history,2005,109,6,190008773,1089038482
139,Paper,1995,149,5,11337979,566921903
140,Price day,1995,107,10,140760677,1169876987
141,So shoulder,2021,176,5,30344368,742908977
142,Crime send,1994,179,8,122228026,1165777161
143,Charge four specific wait,1998,87,2,123648272,1178857595
144,Particular paper,1998,97,8,12385935,42946871
145,Mrs response cover,2020,144,1,66960403,72857308
146,Try kid door case,2000,117,10,140238183,929290717
147,Long Mrs kitchen,2006,109,10,145383149,260838550
148,Already also rich still,2023,173,10,107196070,828838882
149,Difference suggest,2017,153,2,198345716,971615719
150,Green program off,2003,120,8,11536526,680510722
151,Degree,2002,153,4,150706708,813176615
152,Own floor,2009,156,9,104991319,955382081
153,Citizen,2015,178,2,139546701,992104268
154,By,2013,166,7,170288430,82268865
155,Me community word,2018,121,9,14232646,75565885
156,Push value,2023,110,5,51962563,384823655
157,Huge leader may,2018,118,7,79162865,1200432312
158,Century inside,1997,98,1,118991844,1421074395
159,Area which wall,2005,164,3,107848019,655783258
160,Us nearly available there,2004,146,3,82753130,357497076
161,Act,1994,108,4,77749613,1060444423
162,Unit its,2011,132,6,124841937,929880657
163,Role pass,1991,118,7,45690906,293811303
164,Specific PM nothing,2004,115,10,114403829,676002045
165,Central themselves claim truth,2004,87,8,80032692,840543992
166,Half international economy,1990,151,3,165586979,1051801475
167,Lay,1994,155,6,15642258,239896042
168,Traditional type,1993,174,3,186207836,1226607289
169,Particular member set,2004,102,2,139772983,1454604255
170,Personal send,1994,160,8,39182156,1058456079
171,Difference knowledge enjoy,1992,166,6,125441027,1422507970
172,Station,2011,134,3,174436552,1194241871
173,Check how detail,1994,151,6,122251783,1476829809
174,Degree lose throw,2022,143,1,25277519,1163336329
175,International yourself,2005,86,1,194984021,1233812115
176,Among add foreign,2007,124,8,135394303,1013927290
177,Feeling,2021,162,5,31379267,1027011215
178,Those culture usually wife,2003,165,4,49257015,1212434301
179,Number include,1998,128,3,158154924,340675226
180,Push,2020,180,10,187861716,1093097859
181,Material catch history,2005,147,3,147675041,124694574
182,Exist imagine,2020,120,8,37321109,845492511
183,Might affect,2016,169,2,106513043,570627837
184,Plan in,2002,133,3,112013980,1067341106
185,Pm worker,1996,132,10,87828382,1274259715
186,Spend firm manager,1996,99,7,122033751,816314388
187,Such fall edge,2017,118,7,7687294,1329867871
188,Road talk,2012,128,7,49017352,1457746460
189,Art friend peace,2017,103,7,122783994,762554425
190,Crime employee,2016,176,8,159461603,615824961
191,Most it range,2019,148,7,192296336,693231547
192,Push choice,1993,140,1,55205709,136906990
193,Site college subject,1996,110,1,123053094,65445185
194,Check audience make,1993,108,9,25207419,1273010543
195,Camera where,2015,118,4,68130955,101891151
196,Voice decide where,2011,170,6,87993160,280303239
197,Dream simple,1996,98,1,186681482,791859680
198,Necessary light,2005,139,6,175100909,754207187
199,Decide floor five,2002,87,9,191983704,1259059550
200,Open maybe how,2002,151,4,45021810,62766960
201,Money none,2018,132,1,193837245,1347505843
202,Charge behind,1998,133,1,197833609,737842804
203,Show or direction,2017,151,4,34163648,822275108
204,Born tax newspaper,2001,147,4,25478962,214057643
205,Three deal our,2007,97,6,31645916,924441240
206,Animal of,2019,129,5,190576289,746189003
207,That worry them,2005,111,3,121634469,772437812
208,Affect act,1994,112,2,171207519,889612085
209,Mention call site,2018,106,7,98426875,759344995
210,Wall name toward,1996,122,9,23899301,126223825
211,Less step,1993,162,10,141611136,1425002097
212,Vote rather,1990,90,5,190858793,529477538
213,Between,1995,137,3,104102669,536746866
214,Television subject,2005,127,2,196118709,508847094
215,Fly color,2000,91,1,138349417,1396747276
216,Member least,2016,148,5,165301968,675228637
217,Available white,2021,172,5,43922740,1277452071
218,Some determine,2020,104,8,102650770,187410984
219,Usually,2003,86,9,148732349,1482449997
220,Challenge mind,2015,114,10,103168416,145660687
221,Yourself into yard,1993,128,9,12785948,659794519
222,On food,2000,166,6,46871587,250825240
223,Trial finish,2014,157,7,90977723,729978150
224,How,1990,157,3,152797988,369598156
225,Possible continue have,2014,85,6,178041327,47331172
226,From yes,2006,89,8,41289407,1161241297
227,Him man major,2019,104,6,44519855,705330584
228,Western painting develop,2008,177,4,39817746,85267830
229,Model walk after,2017,155,3,49014181,994795371
230,Pattern able,2021,172,7,192138792,1417545559
231,Increase design next,1999,165,1,14773555,912253941
232,Out particularly,2002,151,4,113630602,1224876803
233,Morning,2008,107,4,83694818,1110438303
234,Edge,2003,141,3,84085687,909461331
235,Various artist speak open,1993,106,4,197001301,577559698
236,Beyond,1993,122,1,120791532,48813547
237,Perform million,2010,118,10,78518934,1499559443
238,Student outside,1993,81,9,169162156,1013672853
239,Happen away benefit,1993,107,3,49505220,1267697275
240,Will sure,2020,104,2,32555654,52752400
241,My game candidate,2022,174,6,36318329,684709346
242,Draw music institution control,2023,95,1,55452590,816185308
243,Remember,2000,175,7,1948354,1229824910
244,Open area heart,1993,176,5,168117265,843164560
245,Police bit pick,2022,141,9,68943960,697394617
246,South trade,1995,111,10,4276996,1234517385
247,Make surface,2001,169,1,124115950,214864275
248,Last drive,1994,157,10,134580893,1053742158
249,Character story surface democratic,1994,170,1,134853256,219870084
250,Foot most,2005,106,2,146894980,1488619069
251,Involve memory,2015,130,1,2543650,1454790469
252,Talk surface tax,1997,110,1,164204442,447184750
253,Herself action,2005,150,2,133463984,726484626
254,Respond single,1992,121,7,64854984,1071722547
255,Keep experience true,1995,179,8,59216629,1084687177
256,Might,2016,116,7,159071526,1438203870
257,Food three,2023,128,2,178025296,734155370
258,Return hot price,2010,139,9,128697964,362829229
259,Certainly son team,2006,148,5,122799497,1325332801
260,Responsibility fear,2003,163,8,111099169,648216226
261,Identify before across lose,2010,125,3,119615014,785254467
262,Feel,2005,119,4,22315095,941283834
263,Follow fast,2006,113,1,162387843,438273345
264,Old then price,2015,126,5,162088683,1072195679
265,Blood easy,1998,145,7,2764432,1369606027
266,Various community,2009,143,2,66689690,166751001
267,Although,2019,139,9,147925894,1155694809
268,Company take,2010,92,5,75655372,464733527
269,Very impact with,1994,172,10,167367179,622091372
270,Of culture behavior,1990,140,10,169748036,574416246
271,Writer their another,2019,177,3,150665824,107072818
272,Specific Mr provide,1996,120,7,56737294,643490401
273,News already case,1994,106,2,14131541,1236626311
274,Majority ability game,2003,127,9,50617606,868347160
275,Raise bank,2022,120,10,40797213,490086439
276,Election magazine,2006,132,2,15781113,1346258770
277,Fine call hundred,1998,85,5,176362676,202477945
278,High section,2012,152,2,94689298,1246660548
279,Never that we,1994,108,2,10857232,208438881
280,Size police yourself,2005,174,8,40023646,1276019678
281,Tv cause page,2013,98,4,9705922,728354237
282,Majority scene none,2008,82,10,180045521,592046725
283,Find nature,2000,113,4,156180580,149460741
284,Phone ready someone,2018,150,5,162943208,1221395497
285,Concern nice,2009,154,9,81112292,1145450514
286,Safe better energy side,2023,154,4,89881954,1025631052
287,Matter head,1990,172,6,24542511,922202922
288,Themselves meet choice,2009,133,7,14161757,455411422
289,President matter interest,1996,117,5,30229304,750856470
290,Play,1998,99,3,112926021,169629517
291,Picture,2006,105,1,48848189,1404164653
292,Church stage,1997,122,9,44308094,653211522
293,Trial person,1996,109,8,181412919,1088705140
294,Table answer provide,1999,128,4,77337820,649049727
295,Once politics,2007,152,8,165038157,934668191
296,Success stay,2008,111,6,178415598,1429762407
297,School pull where,2003,143,4,186626772,1164528596
298,Movie city degree,2011,150,1,188863698,677920372
299,Learn example,2003,163,1,160710770,434662052
300,Out partner care,2006,167,2,154620937,894733083
301,Leader rock,2022,123,2,151908292,868934730
302,Style long,2021,112,10,48625621,544587026
303,Return concern anyone,2006,177,8,123228816,1347099699
304,Newspaper share member,1993,142,3,156415080,1111746996
305,Very mention anyone,1995,172,2,97687403,978301017
306,Today discussion travel,2017,162,9,10620739,1447164644
307,Continue state,2007,174,2,25998396,1180881491
308,Of political traditional,1992,142,2,81341251,392837364
309,Policy possible edge,1990,138,5,87656831,44950326
310,Top early natural,2011,101,4,99937100,1353284577
311,Society certainly prepare teach,1998,173,8,102720757,1113582844
312,Me cost,2006,125,5,19164135,405589313
313,Generation,2000,101,5,115708868,1243761549
314,Game big,2018,97,8,148765957,1077031640
315,Say practice,2017,172,1,18428404,462312668
316,If force,1990,149,2,79606683,1424070528
317,Three front piece,1997,142,3,127383934,1008509055
318,Together toward who,1994,103,1,37116860,580388070
319,Popular create woman financial,1999,149,5,33755361,1374936425
320,Piece name,1992,162,6,187460485,1149006059
321,Tv guess himself,2013,87,6,74663666,1324461829
322,Work but close,1999,147,7,89371241,936416234
323,Loss not finally,2017,84,2,142479641,1220725801
324,Support old cause,1998,89,2,112067293,1350953579
325,Which someone,1992,165,1,141833645,133594880
326,Open,2009,86,1,57329936,1126565397
327,From establish,2013,177,3,187785308,435888355
328,Dark career,1992,80,3,57116695,787273890
329,Only happy imagine,2012,132,6,165296927,998182595
330,His very,2003,97,6,16618806,322277160
331,Institution Democrat deal book,2005,160,8,30340595,521199124
332,Begin church,1996,109,10,154375180,328137558
333,Region education pass,2012,88,5,196885007,1476684786
334,Interesting condition green,2016,170,2,169840156,649837101
335,Through concern recently,1999,99,6,142988026,939990297
336,Exactly age,2005,81,6,24533667,886027212
337,Sit range,2000,107,3,130832293,689302486
338,Learn try they,2001,144,2,195367170,143357062
339,Say two,2016,138,7,185859224,1366348912
340,Medical significant investment,1991,127,7,163343863,442137557
341,Hard nature,2001,87,8,190731695,890704680
342,Under focus,2011,159,5,78091255,578238023
343,Church mother general,2016,161,7,115636328,621423581
344,I bar,2005,165,8,164435479,1392366045
345,Score machine,2007,158,7,85956751,349852176
346,Manager thousand what,2000,141,3,70701961,555714952
347,Face reality that,1996,164,2,142033632,1480009669
348,Stuff never view,2014,142,3,155388688,1296136478
349,Manager east,1992,82,1,168300826,512084957
350,Social threat quickly,2020,80,3,95986783,876590477
351,Choose class,2004,148,2,35819605,517139262
352,Sometimes social,2002,150,7,165897210,248865191
353,Toward size,2019,132,10,152031004,327041480
354,Former improve,2012,81,8,134250534,417136497
355,Body always,2009,82,10,140507463,64494265
356,Design,2004,147,8,196739039,532393223
357,Allow exist,2004,172,3,170612985,671880799
358,For opportunity,1991,115,10,134611362,1001775371
359,Reach be,2002,148,7,133205657,1047350666
360,Already chance note,2015,116,6,49293479,1207215055
361,Future young,2011,82,10,164586112,941588302
362,Stay old writer,2007,144,1,63470739,911279170
363,Group education,1994,169,3,191209892,1394254518
364,Remember his,2007,166,8,78977294,84464912
365,Team all,2012,135,8,52957143,438771315
366,Employee heavy,2022,102,2,1424374,347219749
367,Coach important,2015,93,7,32730987,590644481
368,The seek,2011,92,8,7438907,297982546
369,Wrong threat,1991,147,1,125791787,67581692
370,Too measure reduce,1997,99,2,168895839,559902994
371,Think talk,2006,110,5,32655444,601510807
372,Strong admit by,2001,104,6,198962659,1419484591
373,Course safe where,2006,159,1,56654947,1187632382
374,Often seem international,1992,147,9,166170480,382925390
375,Until matter store,1996,112,10,112301954,1388610437
376,Fill allow,2017,125,10,112143322,95693316
377,Represent fast race,2012,114,4,13211717,1048337676
378,Glass happy exactly,2010,130,6,90601676,47753702
379,Long dinner,2017,90,9,94858468,123814413
380,Six trouble green,2022,127,9,151435390,185237321
381,Result money,1997,131,10,172128554,679105360
382,Charge candidate,2014,138,2,57999030,1296925613
383,Truth game,2002,152,7,4032586,644905406
384,Condition yet wear learn,2006,111,4,172964669,141540655
385,East born paper,1992,169,8,55005761,879040547
386,Around prove cold,2017,108,6,186225045,785469097
387,Blue little,1990,118,7,76598592,1447404788
388,Tonight reality race,2023,167,3,69294682,1416821458
389,Area name hard,2002,90,9,19209604,198931284
390,Situation every,2013,163,10,83617065,857325625
391,Type,2017,163,1,81606871,306850639
392,Happy alone hair,1994,177,1,137013461,511894521
393,Message federal,2011,84,3,148637783,245372921
394,Bill keep role,2010,91,9,87952642,1231155993
395,Performance thank arm speech,1997,131,8,2645849,1079275530
396,Behavior physical weight,2009,128,8,31557822,264078044
397,The tend,2022,128,3,185102642,1125895325
398,Pm example,2009,150,2,90464945,1431395436
399,Everyone affect do,2016,140,8,92633552,1251441895
400,Listen enough operation kitchen,2010,87,6,107313681,1132987561
401,Accept,2015,161,4,195453742,545753680
402,To first,2008,81,6,153718713,1071120618
403,Item them short sit,1998,169,5,166354453,198807794
404,Seat past social,2002,101,1,8816137,516266159
405,Spend those,2016,90,9,48145075,1293106476
406,Really measure economy,2014,143,4,53080661,267587495
407,Young drop,2001,135,9,89721899,678043553
408,Money call home,2009,162,7,91714232,712136104
409,Attention us,2015,180,7,181515584,1259830994
410,Sing issue,1990,122,4,129609646,842412679
411,Throw medical,2009,152,2,128372744,511673161
412,Mention any,2008,92,8,10545095,913104265
413,Eight draw,2003,147,8,174315949,473169445
414,Perhaps despite yes,2017,85,10,37441159,314834451
415,Be near,2010,109,8,130250471,234381348
416,Child media into stage,2019,107,2,42711189,381140911
417,Break debate itself,2018,168,8,169362848,464794794
418,Hundred accept,2018,152,8,124646184,594585908
419,Pull,2003,140,6,145141127,948766270
420,Article hospital sort our,2022,114,2,90955312,881979837
421,Team race about,2020,85,8,125143364,551117805
422,Clear month national,2000,89,1,112119678,1270900689
423,Ok agreement,1995,167,2,16038366,125098881
424,Among me six seek,2008,115,7,140874528,1058037033
425,Sign gas thing small,2022,149,7,81354475,1150618042
426,That national each,2011,152,1,152650634,809672823
427,Now leader stand,1995,164,9,195606082,247582655
428,Situation measure benefit,2005,84,9,183052289,684656986
429,Moment play contain,2009,102,1,85692148,1176978529
430,Bill life,2004,120,2,150029246,915063451
431,More step begin,2002,82,10,144850662,1024741459
432,National establish head,1999,106,10,6024691,1471169651
433,History democratic,1991,155,5,56905031,534025478
434,Difficult,1992,98,9,155993998,601428718
435,It your side idea,2005,176,9,185010706,316195140
436,Road major factor,2020,171,4,90045218,784532299
437,Billion course city,1994,130,8,95917581,1025530997
438,Into bring ready,2019,89,6,18773927,794714103
439,In modern cup,2016,118,6,41078731,666793043
440,Picture make move,2002,100,1,76285414,50256512
441,Office,2014,152,4,9367983,1390980755
442,Few with rich,2021,110,8,92040532,1305977244
443,Family exist garden,2015,152,6,101727929,79752676
444,Old face,2005,129,9,169177724,1427113997
445,Agree song,1999,166,10,144417862,122407965
446,Remain myself,1990,149,10,45552094,1488229278
447,Street there new year,1996,122,8,154271716,1447247003
448,Rest,2017,129,6,163588426,519699930
449,Blood quickly hand,2004,176,8,105573400,548276638
450,Building from us,2001,174,2,51299143,1191974136
451,Last,2023,97,2,160770600,831115950
452,Center court series,2019,168,4,32365242,669149047
453,Yet medical lead capital,1993,172,1,83753663,1377132647
454,Rate fish,2005,90,6,190318449,784225381
455,Term discuss,1997,144,6,85422788,1476559600
456,Man yeah,2019,175,5,191546229,267108467
457,Necessary indicate,1998,124,9,9490134,1153711957
458,Thus,2019,86,9,73879532,512626255
459,Wide our term,2023,92,6,112097266,955052780
460,Keep owner,2010,135,2,24299603,839235162
461,Final free body radio,2018,109,1,134427033,21892320
462,Participant change center check,2022,89,3,64791605,848908604
463,Performance southern best,2017,123,8,100746206,553754427
464,Speak work,2018,157,3,122307680,651152389
465,Pressure each better,2000,178,7,82236274,198811097
466,Happy listen,2020,158,2,59019606,510647481
467,Turn evening any pressure,2018,156,5,141955570,643710818
468,Budget after success,2006,130,10,82152950,456801547
469,Five,2005,179,4,47979626,349085355
470,Agency interest beat,2007,121,4,31126852,947414272
471,Positive piece anything,2023,83,2,101452759,1360819604
472,Environmental know begin,2021,161,7,11038152,686148212
473,Hold edge Republican,2005,114,4,55250378,1388901822
474,Return might,2007,180,8,25858229,877498589
475,Wear from,2018,137,4,120124701,77760359
476,Else her,1994,142,6,136826916,593488950
477,Rest rock,2008,109,2,7693376,177001754
478,From technology Congress,2005,125,7,130563913,1060900226
479,Career country pay,2007,150,1,135232306,1016660826
480,Yet partner film,2011,128,10,42359938,891827673
481,Enjoy language,2010,135,2,52059559,719515506
482,Imagine,1995,103,8,92299167,912024068
483,Information,1998,167,8,130781011,220597836
484,Old hotel way marriage,1999,154,10,197613151,349334716
485,Low son main,2004,164,9,141560310,565428960
486,Lay adult,2014,128,3,84311281,1092345097
487,After series industry beat,1999,90,8,88869113,147522546
488,Computer provide true,2003,178,1,39465470,760605747
489,Campaign including,1994,159,9,27374202,908812587
490,That kind,2016,117,1,139552053,1298034130
491,Eat test field,2016,111,9,182654913,1181236338
492,Great ready,2011,171,7,36625991,706729676
493,Her bag step,2019,89,10,56079494,978372195
494,Trouble later image,2016,90,8,195500449,1497952324
495,Affect,1993,114,9,10811997,63735584
496,Sound water some child,2003,99,3,124310768,116881361
497,Mrs continue,2016,128,10,105042418,1382337586
498,Recent hear,2014,171,3,192576315,1382809437
499,Moment structure,1991,180,3,141215885,399577830
500,Other process measure,2014,161,2,32094486,1358250433
501,Garden impact however ten,2020,99,7,2103235,957204921
502,Trip imagine,1990,174,10,84478411,1381749212
503,Behavior phone,2012,129,10,12819202,297255825
504,Book myself,2009,120,6,185429204,11605240
505,Matter subject recent,2014,126,9,160527856,865414770
506,Ever,2016,93,7,24374257,434658472
507,Big,2004,91,7,90466787,1354255976
508,Building recently,2021,80,10,126326045,661158337
509,New arm,2004,119,4,13385551,678712447
510,Husband where security tax,2007,136,5,28676455,1241541163
511,Adult letter author,2017,126,7,140741514,181591989
512,Prove return,2021,177,6,177894746,243001757
513,Kitchen issue,1991,114,5,84880927,343921117
514,Amount,2014,93,8,7034498,541019578
515,Oil,2011,96,3,156037536,1113887302
516,Take less person,2015,91,3,84790221,1399104643
517,Full like picture foreign,2000,103,7,172490218,284372484
518,Others bill story style,2019,135,10,57330022,1280639904
519,Free wait religious,1998,137,9,87135668,1477644166
520,Conference world,1991,151,5,54836210,886147328
521,Score democratic,2015,151,9,52686077,690904413
522,Election difficult,1991,145,6,77924844,974567179
523,Company when later,1995,132,9,75262544,1032282035
524,Decade,2017,93,4,143881699,291710119
525,Often,1998,83,4,86671119,564805783
526,Recent president suffer,2019,91,4,119411073,377543362
527,Nearly rather economy despite,2001,125,10,181153488,1481323869
528,Practice then,1993,150,5,32581657,1278501639
529,Must brother skin,2006,91,6,74190057,708473623
530,Fund five,2014,156,3,41082977,610155167
531,Congress heavy within,2010,156,3,43277515,431627092
532,Very between,2003,180,9,74453843,186245365
533,Own down,2019,121,9,31725229,895124301
534,Rest newspaper,2010,129,6,5095442,794414063
535,What explain home,2011,81,2,168220514,395604206
536,Authority task,2014,117,6,151223397,850022311
537,Everything wife,2007,132,9,138992108,815288586
538,Paper wear because,2016,129,8,28481159,1229904400
539,Sound help,2006,179,10,56452692,487082455
540,Way,1995,90,10,146633943,49527288
541,Form office behind protect,2020,172,7,95037808,54327895
542,Customer shake every,1991,151,9,148469221,1204434005
543,His interest he,1993,111,5,86492642,1394651031
544,Interview hospital draw my,2012,153,7,73759995,1319266768
545,Wall central seat,2004,146,1,38998870,1350672005
546,Each whole,1994,101,9,190073505,496145066
547,Born,1992,167,2,77039093,196075725
548,Move today never,1991,128,1,155104217,998049885
549,Group on girl,2005,101,7,66719730,430773432
550,Party camera with,2002,97,3,46976276,567175066
551,Gas late,1991,114,1,20124113,367400666
552,Because individual so,1999,118,1,84584777,111908102
553,Maybe window return,2005,114,4,165621501,866215910
554,Tax trouble,1998,143,5,91929529,1332153591
555,Main section act,2020,98,3,146110060,926062960
556,Career,1997,88,5,120090756,1294333574
557,Simply minute beat peace,2003,101,5,14616706,563684584
558,Relationship matter,2019,135,3,35916475,325514525
559,Compare whatever clearly,2006,115,1,8782664,196257609
560,Difficult poor source,2013,133,5,127362118,795102512
561,Catch nice quickly,2000,118,4,182327061,370336100
562,Carry leader natural boy,1997,141,9,14544183,1223144854
563,Young nation major social,2000,180,1,29434540,257008329
564,East fact,2009,89,6,103971744,35311528
565,Police read,1996,126,8,15441794,1134227867
566,These garden they,1991,112,2,24117549,939496265
567,I anyone,2009,111,10,115478527,979330219
568,Trip go,2014,172,9,106204354,1451566552
569,Side if follow point,2015,160,4,49045381,1066176962
570,Stock candidate factor,2002,143,9,190160450,259503331
571,Large less phone,1994,156,7,161020108,487075610
572,Cut him work,2005,158,4,160116787,441251358
573,See environment never question,1996,105,9,169972251,414190477
574,Daughter could tax,2009,138,5,186253991,576666259
575,Act know,1997,93,1,188734496,623393627
576,Raise her home,1992,97,7,120678260,1066218045
577,Improve guy throw,2012,118,7,166440888,825496637
578,Lose brother,2017,80,7,96462174,284600933
579,That still,2013,130,6,84870149,931228141
580,Thus opportunity,1994,122,9,90209716,448682911
581,Shoulder thought,2022,159,1,54189716,1293667976
582,Situation gas our,2011,128,1,192367283,467925731
583,Option,1990,122,5,181085364,612667529
584,Nation pretty,2016,136,4,144206271,1459251556
585,Test here way,2021,122,10,22084425,411654309
586,Add that,1996,135,8,126009147,903358970
587,After piece serious,2017,163,4,153414780,392341352
588,Western religious oil,2013,156,6,36378526,882298820
589,Example enjoy account,2019,97,10,25941994,318409891
590,Discussion,1999,118,9,188528850,66789802
591,Administration allow learn,2017,121,10,126701856,628184629
592,Population feeling soldier,2001,157,4,27108837,567210072
593,Off tax,2023,168,4,123294944,510701531
594,Several as front,2007,105,5,84320133,1331458211
595,Although where day,2020,141,8,184738156,973465066
596,Able quite situation,2019,120,3,173984802,538258764
